TIME,BIKE STANDS,AVAILABLE BIKE STANDS,AVAILABLE BIKES,BIKE USAGE
2019-04-25,1039104,677541,360608,1325.0
2019-04-26,1039104,672855,366638,1250.0
2019-04-27,1039104,656774,382823,692.0
2019-04-28,1039104,655504,384070,701.0
2019-04-29,1039104,672018,362127,1590.0
2019-04-30,1039104,669536,360173,1474.0
2019-05-01,1039104,673935,356553,1435.0
2019-05-02,1039104,670083,359014,1498.0
2019-05-03,1039104,662734,366638,1467.0
2019-05-04,1039104,651453,378817,758.0
2019-05-05,1039104,652490,378560,635.0
2019-05-06,1039104,652391,378055,666.0
2019-05-07,1039104,674142,355517,1379.0
2019-05-08,1039104,664998,365612,1316.0
2019-05-09,1039104,664002,366029,1387.0
2019-05-10,1039104,660832,369712,1457.0
2019-05-11,1039104,639338,391874,789.0
2019-05-12,1039104,639295,391703,759.0
2019-05-13,1039104,663187,366966,1611.0
2019-05-14,1039104,667769,362180,1497.0
2019-05-15,1039104,669078,360503,1562.0
2019-05-16,1039104,664687,365798,1502.0
2019-05-17,1039104,656372,373814,1333.0
2019-05-18,1039104,641524,389119,784.0
2019-05-19,1039104,637769,393980,748.0
2019-05-20,1031888,658195,367539,1474.0
2019-05-21,1039104,670466,362871,1581.0
2019-05-22,1039104,666296,366383,1484.0
2019-05-23,1039104,669679,360861,1496.0
2019-05-24,1039104,668456,360929,1447.0
2019-05-25,1039104,649542,380302,767.0
2019-05-26,1039104,648289,381636,736.0
2019-05-27,1039104,659142,369641,1234.0
2019-05-28,1039104,664807,363494,1441.0
2019-05-29,1039104,656753,368300,1512.0
2019-05-30,1039104,658470,367093,1469.0
2019-05-31,1039104,653209,369722,1426.0
2019-06-01,1039104,615951,389877,916.0
2019-06-02,1039104,597631,390618,639.0
2019-06-03,1028280,614588,387412,636.0
2019-06-04,1039104,638880,384209,1048.0
2019-06-05,1039104,655991,367008,1458.0
2019-06-06,1039104,656988,366410,1361.0
2019-06-07,1039104,654263,368769,1415.0
